OBJECTID_1,SQUARE_MIL,NAME,DISPLAY,CLASS_TYPE,INCRP_DATE,Updated,created_us,created_da,last_edite,last_edi_1,GlobalID,SHAPE_1STA,SHAPE_1STL
"1",68.056372479999993,Cold Bay,Y,Second Class City,"1981",Yes,,,,,{58AEB28E-3413-44EA-B386-2A8E15676872},176265195.535980224609375,77959.134009760033223
"5",8.730735210000001,Port Lions,Y,Second Class City,"1966",Yes,,,,,{AF6DAD6D-314E-44F8-9F0E-BA4A52CD80F3},22612500.378017425537109,21690.777282079961878
"6",43.522711020000003,Aleknagik,Y,Second Class City,"1973",Yes,,,,,{D0C18926-DC17-4F93-88D9-CEF7CB8611D2},112723304.063964843750000,54227.987633370197727
"7",0.614387250000000,Pelican,Y,First Class City,"1943",Yes,,,,,{B6E217B0-34FB-492C-B190-0A0AC1A8DA63},1591255.684509277343750,6754.583660968894037
"10",6.798706650000000,Kasaan,Y,Second Class City,"1976",Yes,,,,,{6416447A-7EAF-49ED-92B8-4EF017408733},17608486.337890625000000,21620.517330967632006
"11",24.507010430000001,Galena,Y,First Class City,"1971",Yes,,,,,{96FEB192-7092-4612-9013-5CA762AD588B},63472865.618530273437500,38385.597137665128685
"13",50.112837329999998,Bethel,Y,Second Class City,"1957",Yes,,,,,{68C92AB7-94AB-4302-A197-D4527C9E8D39},129791652.851654052734375,46265.418980722883134
"14",42.731374209999998,Atqasuk,Y,Second Class City,"1982",Yes,,,,,{4F3E4717-2556-47F8-99A3-3DA9B8BDC0A3},110673751.125305175781250,46533.010706229324569
"16",271.889846190000014,Valdez,Y,Home Rule City,"1901",Yes,,,,,{CB3D0ECC-CC87-431F-BB9D-2E49E05437D7},704191468.873291015625000,146948.253229671943700
"18",7.528395700000000,Hooper Bay,Y,Second Class City,"1966",Yes,,,,,{7C86F1CE-0D30-48CD-AC06-3EBBBD6747DD},19498455.349426269531250,28117.061541086215584
"19",104.333186699999999,Nightmute,Y,Second Class City,"1974",Yes,,,,,{B7C39CC1-766D-4E7E-BF8C-60C5471BDC07},270221713.033142089843750,72354.037921409471892
"21",41.796597740000003,Alakanuk,Y,Second Class City,"1969",Yes,,,,,{3C34F92D-C84B-454D-AB32-CA6098CDB705},108252691.173034667968750,48066.622424056949967
"22",75.149782779999995,Cordova,Y,Home Rule City,"1909",Yes,,,,,{8DC9ADFD-83AC-4282-8475-A74549D7BF0A},194637043.867309570312500,83835.734168570168549
"23",5.226892380000000,Anaktuvuk Pass,Y,Second Class City,"1959",Yes,,,,,{A1E9E967-4E77-4061-9D32-6748FAEB5D6C},13537589.105972290039062,14722.115144884590336
"24",1.047419340000000,Shaktoolik,Y,Second Class City,"1969",Yes,,,,,{98938F80-E8A9-44D4-A39E-E595636B2BD0},2712803.637390136718750,19010.967393938200985
