OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"1",Diomede,Second Class City,"174","1970",Y,Diomede,G-4,"Diomede, G-4",461eaf30-c9f2-47e5-b653-11ce937e694b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"2",Belkofski,Unincorporated,"0","0",Y,Belkofski*,J-9,"Belkofski*, J-9",c92a5bbd-cc6b-4897-8e5f-0ce991d96199,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"3",Dot Lake,Unincorporated,"80","0",Y,Dot Lake,S-5,"Dot Lake, S-5",f191bdf0-6740-4c13-93cd-0133b6bad0c7,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"4",Paxson,Unincorporated,"34","0",N,Paxson,S-5,"Paxson, S-5",db0b4523-b55f-41ad-b0a4-1118f058c54c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"5",King Island,Unincorporated,"0","0",Y,King Island*,G-4,"King Island*, G-4",21d43967-00b1-4ab6-ae8d-eef745fcf43f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"6",Haines,Unincorporated,"1429","1910",N,Haines,X-7,"Haines, X-7",1c5932cc-bedc-46a3-b7c8-1c6a8b5f02f4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"7",Metlakatla,Organized Under Federal Law,"1528","1944",N,Metlakatla,Z-9,"Metlakatla, Z-9",950e09b1-4b2b-41d3-bdc8-5ba4f0222911,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"8",Central,Unincorporated,"57","0",N,Central,S-4,"Central, S-4",9abe38fe-eb0b-4403-8109-7461d076d310,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"9",Venetie,Unincorporated,"241","0",Y,Venetie,R-3,"Venetie, R-3",b0a8c1e3-bf91-41fc-b835-d413f7f4ddd9,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"10",Kivalina,Second Class City,"357","1969",Y,Kivalina,I-3,"Kivalina, I-3",8c763553-4f54-4484-9a01-05919a071a32,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
