X,Y,OBJECTID,NAME,CLASS,POP,INCORPDATE,POLICE,TROOPER
-168.9518168,65.7583506,1,Diomede,Second Class City,174,1970,,
-162.0312467,55.08749836,2,Belkofski,Unincorporated,0,0,,
-144.0588964,63.6579439,3,Dot Lake,Unincorporated,80,0,,
-145.4960251,63.0324525,4,Paxson,Unincorporated,34,0,,
-168.054975,64.96108101,5,King Island,Unincorporated,0,0,,
-135.4479681,59.23430943,6,Haines,Unincorporated,1429,1910,,
-131.5733257,55.12607856,7,Metlakatla,Organized Under Federal Law,1528,1944,,
-144.8219621,65.57071113,8,Central,Unincorporated,57,0,,
-146.4218077,67.0167152,9,Venetie,Unincorporated,241,0,,
-164.5399933,67.72738544,10,Kivalina,Second Class City,357,1969,,
-162.7288685,66.07667245,11,Deering,Second Class City,158,1970,,
-166.5376998,53.87309228,12,Unalaska,First Class City,4251,1942,,
-161.3235188,61.78384208,13,Russian Mission,Second Class City,295,1970,,
-152.5040065,57.92326524,14,Ouzinkie,Second Class City,246,1967,,
-164.2803619,60.1580144,15,Chefornak,Second Class City,405,1974,,
-160.0657519,62.90643875,16,Grayling,Second Class City,186,1969,,
-163.7262983,62.08954074,17,Mountain Village,Second Class City,738,1967,,
-159.0549512,58.97954222,18,Manokotak,Second Class City,387,1970,,
-158.6190357,56.93007759,19,Port Heiden,Second Class City,116,1972,,
-170.4840497,63.69297569,20,Savoonga,Second Class City,622,1969,,
-161.1943811,64.35455522,21,Shaktoolik,Second Class City,226,1969,,
-163.4147576,54.85503099,22,False Pass,Second Class City,64,1990,,
-162.3112853,55.0595085,23,King Cove,First Class City,691,1947,,
-165.7735575,54.13431799,24,Akutan,Second Class City,420,1979,,
-169.5452988,56.60142479,25,Saint George,Second Class City,153,1983,,
-170.2823072,57.1203984,26,Saint Paul,Second Class City,764,1971,,
-174.2002152,52.19780671,27,Atka,Second Class City,111,1988,,
-159.2420446,61.57491481,28,Chuathbaluk,Second Class City,115,1975,,
-132.828282,56.01404696,29,Coffman Cove,Second Class City,246,1989,,
-132.5228413,55.68549078,30,Thorne Bay,Second Class City,625,1982,,
-149.8948705,61.2162792,31,Anchorage,Unincorporated,254849,1975,,
-151.4527563,59.66697077,32,Kachemak,Second Class City,398,1961,,
-159.484161,55.90343755,33,Ivanof Bay,Unincorporated,27,0,,
-159.1433886,55.91158824,34,Perryville,Unincorporated,107,0,,
-141.800171,63.01056732,35,Northway Junction,Unincorporated,114,0,,
-142.5197236,63.13803528,36,Tetlin,Unincorporated,68,0,,
-157.7569899,61.88872888,37,Georgetown,Unincorporated,0,0,,
173.1707861,52.82597237,38,Attu,Unincorporated,26,0,,
-162.6717346,60.33889545,39,Tuntutuliak,Unincorporated,351,0,,
-158.5377604,56.31042831,40,Chignik Lagoon,Unincorporated,74,0,,
-158.7630815,56.25373302,41,Chignik Lake,Unincorporated,127,0,,
-132.650042,55.4822368,42,Hollis,Unincorporated,175,0,,
-141.1082572,64.07800957,43,Boundary,Unincorporated,0,0,,
-162.6997337,54.45586652,44,Pauloff Harbor,Unincorporated,0,0,,
