POST ,HEADQUARTERS,DETACHMENT,,,,,,,,,,,,,,,,,,,,,,,
Haines,Ketchikan,A,,,,,,,,,,,,,,,,,,,,,,,
Juneau,Ketchikan,A,,,,,,,,,,,,,,,,,,,,,,,
Klawock,Ketchikan,A,,,,,,,,,,,,,,,,,,,,,,,
Ketchikan,Ketchikan,A,,,,,,,,,,,,,,,,,,,,,,,
Petersburg,Ketchikan,A,,,,,,,,,,,,,,,,,,,,,,,
Glennallen,Palmer,B,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Palmer,B,,,,,,,,,,,,,,,,,,,,,,,
Mat-Su West,Palmer,B,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Aniak,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Bethel,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Dillingham,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Emmonak,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Iliamna,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
King Salmon,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Kodiak,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Kotzebue,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
McGrath,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Nome,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Selawik,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Unalakleet,Anchorage,C,,,,,,,,,,,,,,,,,,,,,,,
Barrow ,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Delta Junction,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Fairbanks,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Galena,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Healy,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Nenana,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Northway,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Tok,Fairbanks,D,,,,,,,,,,,,,,,,,,,,,,,
Anchor Point,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
Cooper Landing,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
Girdwood,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
Ninilchik,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
Seward,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
Soldotna,Soldotna,E,,,,,,,,,,,,,,,,,,,,,,,
